language_token,count,english_name
trosicka,12,
dole,12,
poradne,12,
mojim,12,
veci,12,
ein,12,
u,12,
vlastne,12,
h,11,
jedine,11,
priemerne,11,
jaj,11,
vedela,11,
francusky,11,
slovicok,11,
tez,11,
japoncina,11,
ste,11,
mocensky,11,
nech,11,
uciim,11,
svoooj,11,
obidva,11,
nitrancinu,11,
nechce,11,
rozpravat,11,
uci,11,
paci,11,
nemcine,11,
nadavky,11,
jazik,11,
sj,11,
kedze,11,
thajsky,11,
poco,11,
jazykom,11,
ktore,11,
cas,11,
tri,11,
albansky,11,
oba,11,
e,11,
wem,11,
kmena,11,
zabudol,11,
teoreticky,11,
hh,11,
thak,11,
sveta,11,
rustine,11,
cim,11,
slovina,10,
slovensku,10,
anglicku,10,
nikdy,10,
dalsie,10,
naco,10,
ehm,10,
praxi,10,
taak,10,
dorozumiet,10,
newim,10,
nitraaansky,10,
povedzme,10,
anglictine,10,
bohuzial,10,
partnerov,10,
ae,10,
prave,10,
svahilsky,10,
poznam,10,
zalezi,10,
anglickeho,10,
dohovoril,10,
newem,10,
svojj,10,
horsie,10,
konecne,10,
urovni,10,
xp,10,
tych,10,
proste,10,
nich,10,
zvladam,10,
szlovak,10,
nepredaju,10,
pouzivam,10,
ozaj,10,
francustina,10,
boli,10,
ziadni,10,
sam,10,
silne,10,
nevem,10,
nerozumie,10,
preco,10,
pamatam,10,
spreche,10,
secko,9,
vsetci,9,
fajn,9,
dobry,9,
jednu,9,
skoda,9,
englisch,9,
rodnu,9,
kusok,9,
svk,9,
taq,9,
la,9,
zabudla,9,
francais,9,
czech,9,
pisat,9,
potreby,9,
bo,9,
pokial,9,
taliancinou,9,
dddd,9,
bischen,9,
nemozem,9,
google,9,
owladam,9,
zivot,9,
skazdeho,9,
mojj,9,
cem,9,
hihi,9,
dalo,9,
anglickya,9,
podari,9,
americky,9,
hovorit,9,
speak,9,
ovladanim,8,
zacat,8,
zacal,8,
velmo,8,
robim,8,
zdokonalit,8,
jazykmi,8,
xdd,8,
sme,8,
toto,8,
nejdu,8,
mnou,8,
chcete,8,
najkrajsi,8,
asik,8,
swooj,8,
vety,8,
macedonsky,8,
nestratila,8,
vas,8,
slovesky,8,
dobra,8,
madar,8,
hehehe,8,
on,8,
vam,8,
esperanto,8,esperanto
in,8,
mnoo,8,
zas,8,
tazke,8,
n,8,
koho,8,
rata,8,
dolava,8,
chi,8,
zopar,8,
niektore,8,
skusam,8,
nechapem,8,
skoly,8,
vynikajuco,8,
vypijem,8,
priatelov,8,
slovicka,8,
hovori,8,
ludi,8,
naozaj,8,
vacsinou,8,
ust,8,
en,8,
den,8,
puse,8,
mu,8,
y,8,
obstojne,8,
naucil,8,
casto,8,
svoje,8,
angline,8,
dve,8,
deutch,8,
velice,8,
nemusim,7,
nwm,7,
stoho,7,
mojich,7,
bla,7,
planujem,7,
pocitat,7,
ake,7,
silno,7,
povedal,7,
okolnosti,7,
posunkova,7,
dam,7,
j,7,
spanielcina,7,
riadne,7,
vsetkymi,7,
german,7,
vsetkeho,7,
kedysi,7,
ucime,7,
ludia,7,
kus,7,
tela,7,
rus,7,
vyskusat,7,
twoj,7,
pc,7,
pas,7,
velmy,7,
ini,7,
zmaturoval,7,
hlavnee,7,
hovorovo,7,
svojjj,7,
rozpravam,7,
latincina,7,latin
dlho,7,
nom,7,
rakusky,7,
podobne,7,
spravne,7,
sexy,7,
dobrej,7,
naucila,7,
fuck,7,
mj,7,
piatok,7,
inac,7,
azbuku,7,
plus,7,
kym,7,
nijaky,7,
alkoholu,7,
bisschen,7,
swojj,7,
gut,7,
chvalit,7,
chystam,7,
elfsky,7,
pomocou,7,
svojej,7,
mohla,7,
hungary,7,
then,7,
troske,7,
musi,7,
musia,7,
jo,7,
moooj,7,
dohovorila,7,
casom,7,
anj,7,
nebavi,7,
idem,7,
lt,7,
veru,6,
samo,6,
franinu,6,
teniskach,6,
zvieraci,6,
language,6,
klamem,6,
eng,6,
w,6,
mnoho,6,
nema,6,
vies,6,
viim,6,
slovenciny,6,
bohvieco,6,
spanielciny,6,
seba,6,
mongolcina,6,
nerozumiem,6,
praci,6,
predovsetkym,6,
good,6,
ovladala,6,
tan,6,
skusit,6,
tyka,6,
jej,6,
davam,6,
dobru,6,
vulgarny,6,
pripade,6,
chvilu,6,
pochopitelne,6,
francustinu,6,
pomalicky,6,
chorvacky,6,
te,6,
php,6,
ovladnut,6,
krat,6,
pijem,6,
jako,6,
zdokonalovat,6,
prakticky,6,
slovinsky,6,
sposobom,6,
tvarim,6,
nemcinou,6,
viet,6,
samouk,6,
kokot,6,
moje,6,
maam,6,
strasne,6,
t,6,
bravcovy,6,
ramci,6,
du,6,
vsetki,6,
slowenski,6,
jeho,6,
coskoro,6,
doprava,6,
nejaku,6,
napisat,6,
awe,6,
nemcky,6,
roska,6,
com,6,
japoncinu,6,
se,6,
viete,6,
idu,6,
tag,6,
dakedy,6,
ovladnem,6,
pomenej,6,
bohvie,6,
clovekom,6,
napr,6,
ceskyy,6,
niektorych,6,
es,6,
zlepsovat,6,
vlasny,6,
anglictinou,6,
welmi,6,
l,6,
bi,6,
porozumiem,6,
sprache,6,
aspom,6,
anglick,6,
rodna,6,
aten,6,
slabsie,6,
zlepsit,6,
cely,6,
slovenskyyyy,6,
chciet,6,
heheh,6,
ruk,6,
rozumiet,6,
slabota,6,
ist,6,
wim,6,
laka,5,
html,5,
jasnee,5,
poslabsie,5,
vec,5,
nepouzivam,5,
nasu,5,
rustinou,5,
casu,5,
percent,5,
uzde,5,
vlastni,5,
kusek,5,
ovladal,5,
troche,5,
lepsi,5,
parlo,5,
isti,5,
klokocinsky,5,
zase,5,
napocitat,5,
robi,5,
jedneho,5,
komu,5,
spanielcine,5,
wed,5,
nauci,5,
hello,5,
moji,5,
neucim,5,
newiem,5,
any,5,
antitalent,5,
laponsky,5,
kolvek,5,
zboznujem,5,
zakladne,5,
citat,5,
hungaria,5,
cosi,5,
hodiny,5,
translator,5,
zvladnem,5,
nepovedal,5,
slovom,5,
bar,5,
ujde,5,
mat,5,
davno,5,
nicht,5,
saq,5,
nepotrebujem,5,
zbezne,5,
slovansky,5,
svojom,5,
rj,5,
ach,5,
niee,5,
hladu,5,
teen,5,
inglis,5,
pohode,5,
rozka,5,
trosilinku,5,
latina,5,
latinciny,5,
powedat,5,
arabcinu,5,
pekne,5,
op,5,
pp,5,
najdolezitejsi,5,
meg,5,
of,5,
nepamatam,5,
dvoch,5,
francustiny,5,
kua,5,
nemeckyy,5,
tieto,5,
svuj,5,
nitranski,5,
jaziky,5,
moznosti,5,
nepredali,5,
taliansku,5,
anglickom,5,
sprechen,5,
neovladnem,5,
ostry,5,
letmo,5,
mozne,5,
don,5,
slovenksy,5,
priatelkin,5,
posudit,5,
tem,5,
anglika,5,
porozumiet,5,
taktiez,5,
pokecat,5,
najlepse,5,
setky,5,
nestazoval,5,
preto,5,
slovenskeho,5,
uzbekistansky,5,
sikovny,5,
kmenov,5,
angol,5,
very,5,
taaak,5,
topanky,5,
zeny,5,
zato,5,
lol,5,
vacsina,5,
r,5,
minimum,5,
mohol,5,
mame,5,
just,5,
uciiim,5,
dorozumel,5,
druhej,5,
dorozumela,5,
bars,5,
snim,5,
nehovorim,5,
maskrtny,5,
ovladaju,5,
nedari,5,
cinstina,5,
jaki,5,
ziadne,5,
an,5,
scasti,5,
doma,5,
indiansky,5,
nemecku,5,
nad,5,
horko,5,
kontrolou,5,
rade,5,
sebe,5,
kokcem,5,
maly,4,
medzi,4,
ruskya,4,
chodim,4,
kvalitne,4,
nenazvala,4,
slo,4,
bien,4,
polovicne,4,
maximalne,4,
troosku,4,
sikovna,4,
mozme,4,
sie,4,
robit,4,
verim,4,
pokrocilo,4,
ticho,4,
rozumie,4,
myslite,4,
dohovori,4,
bavi,4,
pocit,4,
bin,4,
more,4,
francuzaky,4,
prava,4,
niekolko,4,
polstina,4,
otazka,4,
skus,4,
africky,4,
stacii,4,
jednotku,4,
cmuk,4,
kapanek,4,
romacky,4,
mas,4,
taka,4,
nepaci,4,
uvidime,4,
madarskyyy,4,
doucujem,4,
slovenskii,4,
medzinarodne,4,
tuto,4,
mimozemsky,4,
mongolski,4,
trohu,4,
flamsky,4,
grectiny,4,
rusku,4,
iste,4,
cca,4,
vyskusaj,4,
slovnik,4,
pozor,4,
dialekt,4,
ceknut,4,
extra,4,
howno,4,
zvierat,4,
stredne,4,
hebrejcina,4,
partnera,4,
posunkovej,4,
beha,4,
mali,4,
nekedy,4,
dolu,4,
uff,4,
vis,4,
ovladani,4,
zatal,4,
studoval,4,
volakedy,4,
lenivy,4,
coo,4,
nerozpravam,4,
naraz,4,
tornado,4,
kupit,4,
najde,4,
priatelky,4,
francuzstinou,4,
gramatiku,4,
prosim,4,
omg,4,
yes,4,
vedia,4,
mvoj,4,
vravi,4,
stem,4,
francuztinu,4,
spisovne,4,
sama,4,
madarsku,4,
anglicy,4,
zmaturovala,4,
samozrejmee,4,
minimalne,4,
pisem,4,
dansky,4,
prizvuk,4,
niekedi,4,
course,4,
sturovsky,4,
aaaa,4,
vypotim,4,
pravy,4,
tosku,4,
buducnosti,4,
domaci,4,
spanielcinou,4,
polemizovat,4,
trolilinku,4,
francuzstiny,4,
fr,4,
olasky,4,
nezabudol,4,
pohoda,4,
prsty,4,
vzdelavam,4,
desat,4,
matersky,4,
trapna,4,
not,4,
nestratil,4,
druhe,4,
furt,4,
najvac,4,
pride,4,
bozkavani,4,
nemesky,4,
mnohe,4,
ktora,4,
sorry,4,
trapne,4,
pismom,4,
plinule,4,
poho,4,
slovesnky,4,
nimi,4,
vecer,4,
okrajovo,4,
sloveski,4,
akosi,4,
hatlaninu,4,
kkt,4,
stacit,4,
b,4,
roka,4,
vole,4,
umenie,4,
zle,4,
turecki,4,
svetove,4,
znalosti,4,
pozna,4,
svojsky,4,
watch,4,
nan,4,
mohlo,4,
maturovala,4,
pici,4,
problemy,4,
nestaci,4,
svooooj,4,
deutsche,4,
bavia,4,
zamozrejme,4,
haluz,4,
moze,4,
skutocne,4,
mexicky,4,
yo,4,
otrepana,4,
dari,4,
neowladam,4,
jaaaaj,4,
veeelmi,4,
profesionalne,4,
nadrbany,4,
stes,4,
jednym,4,
ono,4,
jazykove,4,
thaq,4,
same,4,
slovinu,4,
polsku,4,
dodat,4,
cerveny,4,
podstate,4,
the,4,
nevjem,4,
pokrocila,4,
picu,4,
inom,4,
slovicko,4,
next,4,
tochu,4,
nikde,4,
nekomentujem,4,
ovladanie,4,
perfekt,4,
trocu,4,
ktori,4,
vtedy,4,
odpovedat,4,
vecsinou,4,
dievcat,4,
napriklad,4,
druheho,4,
nezabudla,4,
meine,4,
me,4,
slovensko,4,
slovenskyyy,4,
ceste,4,
taketo,4,
hlawnee,4,
jj,3,
romanes,3,
pekny,3,
lehotsky,3,
isto,3,
hun,3,
chabo,3,
isty,3,
ucitelov,3,
best,3,
pero,3,
dlhy,3,
anglycky,3,
tvrdit,3,
dokopi,3,
mandarincinu,3,
francuzstine,3,
pohariku,3,
noh,3,
peu,3,
pochopim,3,
jazykovy,3,
auch,3,
dik,3,
pracovat,3,
snej,3,
radi,3,
dobree,3,
najst,3,
mocc,3,
zacnem,3,
brazilsky,3,
arabcina,3,
alee,3,
cisty,3,
che,3,
ostatnych,3,
pomali,3,
wedet,3,
rodnej,3,
udrzat,3,
vtakov,3,
milacika,3,
nasa,3,
gavarim,3,
pivach,3,
blee,3,
sanskrit,3,
hablo,3,
navyse,3,
barz,3,
slovenske,3,
zachvilku,3,
tin,3,
hube,3,
myslela,3,
dorozumievat,3,
prvy,3,
velke,3,
praxy,3,
cudzy,3,
hahaha,3,
ukrainsky,3,
prizvukom,3,
musiet,3,
magyarski,3,
name,3,
drevo,3,
pi,3,
pomoci,3,
situaciach,3,
pomoze,3,
hmmmm,3,
rekreacne,3,
vidiet,3,
cooo,3,
mlcat,3,
minulosti,3,
lekcie,3,
postupne,3,
trozku,3,
francuzskom,3,
deci,3,
mini,3,
prekladac,3,
londyne,3,
kecam,3,
zvladla,3,
nemeckya,3,
was,3,
ktoru,3,
hlane,3,
italsky,3,
papuli,3,
trosticku,3,
semtam,3,
tolkokrat,3,
amater,3,
nevie,3,
stran,3,
povie,3,
coca,3,
volam,3,
france,3,
berte,3,
fraza,3,
manzelov,3,
cesko,3,
min,3,
slovanske,3,
only,3,
magyarcina,3,
dto,3,
ppp,3,
psom,3,
och,3,
francuzki,3,
expert,3,
prvom,3,
matne,3,
neandertalsky,3,
karate,3,
kazdom,3,
what,3,
plynulo,3,
englis,3,
strednej,3,
krasny,3,
ucitelka,3,
vychodniarsky,3,
snaziim,3,
inee,3,
vi,3,
tha,3,
swoy,3,
ovladacom,3,
prilezitosti,3,
pocita,3,
srdci,3,
cez,3,
cech,3,
nemeckym,3,
tatarom,3,
pusy,3,
nam,3,
tibetsky,3,
potrebne,3,
venovat,3,
romstinu,3,
vcelku,3,
grectina,3,
taj,3,
jest,3,
f,3,
rozumela,3,
anglicanom,3,
sr,3,
nezvladam,3,
litt,3,
im,3,
nur,3,
bitte,3,
duncom,3,
nemnozka,3,
nahovno,3,
nez,3,
anglisky,3,
swoooj,3,
zee,3,
be,3,
pomerne,3,
gavaris,3,
totiz,3,
heeh,3,
jedna,3,
madarske,3,
dale,3,
ovladas,3,
japonski,3,
uviest,3,
takmer,3,
which,3,
skoncila,3,
narecovy,3,
tomto,3,
mongolstina,3,
nemecko,3,
rukama,3,
oprasim,3,
naratat,3,
cecky,3,
madarciny,3,
stipku,3,
japonstinu,3,
pripadne,3,
cias,3,
vychodnarsky,3,
stadiu,3,
latincine,3,
srbochorvatsky,3,
nejaka,3,
talianskeho,3,
drzy,3,
dako,3,
medzinarodny,3,
ratat,3,
koktat,3,
hovoria,3,
irecky,3,
naucili,3,
as,3,
zaujmu,3,
mozete,3,
myslel,3,
guten,3,
akotak,3,
cola,3,
sakra,3,
or,3,
mandarinsky,3,
nohama,3,
slovenska,3,
zrovna,3,
osoby,3,
tusim,3,
baby,3,
svedski,3,
posunkami,3,
mate,3,
pouzijem,3,
pise,3,
aki,3,
zazraky,3,
fj,3,
cinski,3,
das,3,
xixixi,3,
kazdemu,3,
botaskach,3,
javascript,3,
talianky,3,
tatarsky,3,
nho,3,
cinnosti,3,
taliancine,3,
eskimacky,3,
vieme,3,
fuha,3,
podary,3,
french,3,
frajerkin,3,
nieto,3,
tou,3,
troskuuu,3,
poslucha,3,
dokaze,3,
hrdy,3,
nik,3,
najebany,3,
dialkovym,3,
jemu,3,
pascal,3,
prve,3,
ludsky,3,
nemnoska,3,
chyba,3,
krajine,3,
skola,3,
zadni,3,
mine,3,
nepytajte,3,
snazila,3,
vlahovsky,3,
svojich,3,
dddddd,3,
mongolctinu,3,
maybe,3,
krvi,3,
istych,3,
vsetkyy,3,
latinu,3,
troskuu,3,
nemcom,3,
dat,3,
neovladal,3,
frazy,3,
somozrejme,3,
hlaholiku,3,
ciste,3,
nerobi,3,
dievcensky,3,
pokrocilej,3,
nebola,3,
rumunski,3,
sprosty,3,
jasan,3,
dostavam,3,
nemal,3,
spomeniem,3,
vykokcem,3,
zaciatocnicka,3,
asvoj,3,
pozeram,3,
shit,3,
celu,3,
sade,3,
spaninu,3,
mozes,3,
budes,3,
anglicka,3,
nijaki,3,
ever,3,
hlvne,3,
ruke,3,
zaujem,3,
jednou,3,
prisposobim,3,
juj,3,
procese,3,
uroven,3,
neskor,3,
technicky,3,
sex,3,
narodnu,3,
madarsy,3,
nalady,3,
malilinko,3,
neznamena,3,
doucit,3,
opacneho,3,
tal,3,
nervy,3,
lasky,3,
napis,3,
rozne,3,
tele,3,
babka,3,
pred,3,
neratam,3,
chorvatski,3,
gulas,3,
magyarszky,3,
hrozne,3,
uruguajsky,3,
vypytat,3,
zlepsujem,3,
hovadzi,3,
ukecany,3,
pocas,3,
sobotu,3,
vola,3,
staciii,3,
slovakis,3,
nasom,3,
niejake,3,
posnazim,3,
napadne,3,
vlasni,3,
tenn,3,
situacii,3,
nikoho,3,
duse,3,
hladam,3,
habe,3,
american,3,
bozsky,3,
nalepilo,3,
nitraaaansky,3,
ting,3,
pisu,3,
slovensy,3,
niesom,3,
jemne,3,
otom,3,
spoznavam,3,
dietne,3,
stava,3,
trolilinka,3,
mnozstva,3,
vyplazit,3,
daa,3,
slovaci,3,
musel,3,
magarsky,3,
oboch,3,
ulice,3,
hebrejcinu,3,
parle,3,
oblubeny,3,
cygansky,3,
wiac,3,
napisem,3,
taku,3,
pivo,3,
dig,3,
lamem,3,
slovnesky,3,
rp,3,
ucenia,3,
trochuu,3,
slvensky,3,
pochybujem,3,
vypite,3,
myslia,3,
ces,3,
vodou,3,
komunikacia,3,
norsk,3,
hoci,3,
talent,3,
neposlucha,3,
decentne,3,
anglcky,3,
zenskych,2,
priznavam,2,
vella,2,
lenn,2,
fascinuju,2,
cestinuuu,2,
bleee,2,
pletie,2,
milovaneho,2,
rodine,2,
komunikacie,2,
francuzskya,2,
madarka,2,
cista,2,
konverzacia,2,
papulke,2,
psaci,2,
partnerkin,2,
nemet,2,
oko,2,
nemu,2,
zatim,2,
slovinski,2,
zj,2,
zatail,2,
americansky,2,
nemy,2,
zahryznem,2,
zatrepem,2,
brblem,2,
tho,2,
toth,2,
analfabet,2,
dobreee,2,
are,2,
srbski,2,
slowakia,2,
dohoworit,2,
afrike,2,
nebavy,2,
presnejsie,2,
nevedel,2,
zenske,2,
vina,2,
azbuka,2,
dabujeme,2,
manzelka,2,
nemluvim,2,
stym,2,
vyuzivam,2,
pasine,2,
vybornu,2,
nemeckych,2,
aje,2,
hodi,2,
vsedky,2,
zdibec,2,
vsetkooo,2,
etanolu,2,
podrezani,2,
ganz,2,
fluent,2,
bojujem,2,
hybat,2,
neuspesne,2,
taaaak,2,
sposob,2,
sicher,2,
nebude,2,
us,2,
zbytocna,2,
venujem,2,
originalny,2,
bardzo,2,
que,2,
nepoznate,2,
pani,2,
marne,2,
primitivne,2,
truba,2,
hrozna,2,
smiechu,2,
spa,2,
samosrejme,2,
neste,2,
stave,2,
moznost,2,
priucim,2,
fajne,2,
hehehehe,2,
pozdravujem,2,
trochaa,2,
ucitelku,2,
pomlcim,2,
maarsky,2,
pandzabcina,2,
chceme,2,
celom,2,
with,2,
prepichnuty,2,
cinsko,2,
babami,2,
sla,2,
spanielsko,2,
noooo,2,
comment,2,
smere,2,
snakker,2,
urcitej,2,
genialne,2,
urcitych,2,
prasaci,2,
slovenskym,2,
niekde,2,
mozgu,2,
tvooj,2,
ucho,2,
nestacii,2,
telo,2,
slovencky,2,
sumersky,2,
dnb,2,
slabikar,2,
abglicky,2,
smola,2,
najhorsie,2,
kymkolvek,2,
najprv,2,
umim,2,
francuuzky,2,
mongol,2,
madarcine,2,
peknej,2,
romale,2,
spolahnut,2,
sellak,2,
tank,2,
lepsia,2,
polskeho,2,
slovencynu,2,
svajciarsky,2,
hungarische,2,
pohlavia,2,
vsetkom,2,
bozkawani,2,
kybel,2,
nedohovorim,2,
prihlasila,2,
ides,2,
mooojjjj,2,
klobuk,2,
pridat,2,
vseci,2,
fran,2,
anglickyyy,2,
zrejme,2,
nevis,2,
chut,2,
stacia,2,
minule,2,
dajako,2,
sarisky,2,
porozpravam,2,
nechci,2,
swahilcinu,2,
telenovely,2,
aaaaa,2,
japoncom,2,
psi,2,
varil,2,
wsak,2,
azerbajdzancina,2,
bohuzal,2,
pilne,2,
zaciatocne,2,
pokusy,2,
troooosku,2,
hebrejski,2,
naglicky,2,
prvotny,2,
klinove,2,
kery,2,
nadherny,2,
hheheh,2,
slowenskyyy,2,
uvidis,2,
magiarsky,2,
hija,2,
manzelkyn,2,
ochrnuty,2,
somalsky,2,
germany,2,
vymkne,2,
delphy,2,
nedalo,2,
polovicu,2,
nato,2,
tymto,2,
chodila,2,
des,2,
gramatika,2,
natrieskany,2,
hociakym,2,
ciips,2,
neaky,2,
drum,2,
palce,2,
poliakom,2,
rozhodla,2,
snom,2,
hrobe,2,
vet,2,
oral,2,
menovat,2,
spanielstina,2,
ustny,2,
srandu,2,
valamit,2,
zvlada,2,
normalne,2,
pochopit,2,
vseliaky,2,
pusinke,2,
vselijake,2,
tuzim,2,
ajj,2,
patrilo,2,
mrstny,2,
sebou,2,
nestazuje,2,
blbost,2,
slizky,2,
wm,2,
bu,2,
abo,2,
forme,2,
milovany,2,
slovnsky,2,
yb,2,
coraz,2,
opytat,2,
krajinach,2,
sto,2,
predvediem,2,
mocenski,2,
nepoznas,2,
male,2,
mrazu,2,
mnam,2,
njekedy,2,
vselijak,2,
halvne,2,
hier,2,
neuverite,2,
jedeni,2,
juhoslovensky,2,
zakl,2,
boh,2,
hollansky,2,
posledny,2,
popripade,2,
franina,2,
niesu,2,
uga,2,
kocovnych,2,
